Year,Recycling Type,Return Method,Sales packaging after sorting (1000t)
2012,Other forms of material recycling,Overall,121.8
2012,Energy utilization,Overall,1058.1
2012,Other forms of utilization,Overall,51.0
2012,Other whereabouts,Overall,495.0
2012,In total,Overall,5856.8
2013,Material recycling,Overall,4303.6
2013,Other forms of material recycling,Overall,224.0
2013,Energy utilization,Overall,1145.1
2013,Other forms of utilization,Overall,50.0
2013,Other whereabouts,Overall,473.9
2013,In total,Overall,6196.6
2014,Material recycling,Overall,4224.6
2014,Other forms of material recycling,Overall,
2014,Energy utilization,Overall,1154.9
2014,Other forms of utilization,Overall,
2014,Other whereabouts,Overall,475.5
2014,In total,Overall,6063.7
2015,Material recycling,Overall,3971.6
2015,Other forms of material recycling,Overall,47.3
2015,Energy utilization,Overall,1167.5
2015,Other forms of utilization,Overall,
2015,Other whereabouts,Overall,332.0
2015,In total,Overall,5518.4
2016,Material recycling,Overall,3978.5
2016,Other forms of material recycling,Overall,
2016,Energy utilization,Overall,1146.3
2016,Other forms of utilization,Overall,
2016,Other whereabouts,Overall,288.9
2016,In total,Overall,5450.9
2017,Material recycling,Overall,3923.4
2017,Other forms of material recycling,Overall,124.7
2017,Energy utilization,Overall,1213.8
2017,Other forms of utilization,Overall,
2017,Other whereabouts,Overall,
2017,In total,Overall,5391.8
2018,Material recycling,Overall,3991.6
2018,Other forms of material recycling,Overall,80.1
2018,Energy utilization,Overall,1192.0
2018,Other forms of utilization,Overall,
2018,Other whereabouts,Overall,
2018,In total,Overall,5403.9
2019,Material recycling,Overall,4190.6
2019,Other forms of material recycling,Overall,
2019,Energy utilization,Overall,901.9
2019,Other forms of utilization,Overall,
2019,Other whereabouts,Overall,345.1
2019,In total,Overall,5635.2
2020,Material recycling,Overall,5098.1
2020,Other forms of material recycling,Overall,95.2
2020,Energy utilization,Overall,780.7
2020,Other forms of utilization,Overall,
2020,Other whereabouts,Overall,
2020,In total,Overall,6436.0
